generation,N_shifts,logPrior,logLik,eventRate,acceptRate
517000,2,-1.40095,-78.2168,0.686494,0.514738
518000,1,0.454075,-79.5324,1.97296,0.501522
519000,1,-0.42818,-84.1932,2.95297,0.51
520000,2,-0.30906,-76.4545,1.11189,0.522
521000,1,-1.62473,-78.966,0.546224,0.508
522000,1,0.455866,-78.1299,0.556954,0.422
523000,1,-0.103239,-78.1419,1.30433,0.481
524000,1,-1.52946,-76.8327,1.11384,0.443
525000,1,1.48182,-77.0775,0.45193,0.51
526000,0,1.14274,-87.312,1.09522,0.547
527000,0,1.63741,-87.0885,0.36427,0.295
528000,0,1.23236,-88.644,0.324969,0.232
529000,1,-2.89742,-77.4146,1.81481,0.469
530000,1,-0.219809,-78.6872,0.40495,0.51
531000,1,-3.68694,-78.8784,3.19287,0.55
532000,1,1.6853,-78.8252,0.239734,0.518563
533000,2,2.03626,-77.4064,0.700377,0.511
534000,2,1.44822,-76.1095,1.21616,0.566
535000,1,-0.0910959,-79.3648,1.28378,0.513182
536000,1,-0.530595,-77.9753,0.335873,0.526
537000,2,3.59639,-79.1899,1.77131,0.55
538000,1,1.19908,-77.7233,0.519152,0.527
539000,1,0.0335685,-77.0648,1.90617,0.536
