generation,rank_1,rank_2,swapAccepted
703000,4,6,1
704000,3,6,1
705000,1,4,0
706000,5,7,0
707000,5,6,1
708000,2,3,0
709000,3,7,0
710000,1,7,0
711000,5,8,0
712000,6,8,0
713000,4,6,0
714000,5,6,0
715000,2,7,0
716000,2,8,0
717000,1,4,0
718000,2,8,0
719000,1,6,0
720000,2,6,0
721000,3,4,0
722000,6,7,1
723000,1,3,0
724000,1,4,0
725000,5,7,0
726000,4,6,0
727000,2,8,0
728000,1,2,0
729000,2,7,0
730000,4,6,0
731000,2,5,0
732000,1,8,0
733000,1,6,0
734000,2,8,0
735000,5,6,0
736000,3,8,0
737000,6,8,0
738000,1,7,0
739000,2,7,0
740000,4,6,0
741000,3,8,0
742000,1,4,0
743000,1,3,0
744000,2,5,0
745000,4,5,0
746000,2,3,0
747000,1,8,0
748000,1,7,0
749000,3,6,0
750000,3,5,0
751000,2,5,0
752000,1,8,0
753000,4,7,0
754000,1,5,0
755000,1,4,0
756000,3,7,0
757000,3,5,1
758000,1,7,0
759000,5,7,0
760000,1,3,0
761000,2,5,0
762000,2,8,0
763000,3,4,1
764000,1,3,0
765000,3,4,1
766000,4,6,0
767000,1,5,0
768000,3,5,0
769000,5,6,0
770000,2,5,0
771000,3,8,0
772000,3,4,0
773000,4,5,1
774000,5,7,0
775000,2,6,0
776000,3,7,0
777000,2,8,0
778000,1,8,0
779000,6,7,1
780000,1,2,0
781000,7,8,1
782000,6,8,1
783000,5,6,0
784000,4,6,0
785000,2,3,0
786000,6,7,1
787000,4,5,1
788000,2,6,1
789000,4,7,0
790000,2,5,0
791000,1,4,0
792000,2,5,0
793000,3,7,0
794000,5,8,0
795000,2,5,0
796000,6,7,0
797000,7,8,0
798000,1,5,0
799000,3,4,0
800000,5,8,1
801000,5,8,0
802000,1,8,0
803000,3,6,0
804000,2,5,0
805000,4,6,1
806000,1,5,0
807000,3,5,0
808000,4,6,1
809000,3,6,0
810000,1,5,0
811000,2,5,1
812000,1,5,0
813000,4,5,0
814000,7,8,1
815000,3,6,0
816000,1,8,0
817000,3,7,0
818000,6,8,0
819000,1,5,0
820000,1,4,0
821000,1,6,0
822000,1,5,0
823000,2,6,0
824000,5,6,0
825000,4,7,0
826000,2,4,0
827000,2,3,1
828000,5,8,0
829000,5,6,1
830000,5,8,0
831000,3,7,0
832000,3,5,0
833000,2,3,1
834000,2,3,1
835000,6,8,0
836000,1,2,1
837000,2,7,0
838000,1,4,0
839000,2,6,0
840000,4,7,0
841000,4,5,0
842000,1,4,0
843000,1,4,0
844000,3,8,0
845000,1,5,0
846000,2,8,0
847000,5,8,0
848000,6,8,0
849000,5,7,0
850000,1,4,0
851000,5,6,1
852000,1,8,0
853000,6,7,0
854000,5,7,0
855000,2,3,0
856000,7,8,0
857000,4,7,0
858000,3,8,0
859000,3,4,0
860000,3,8,0
861000,4,7,0
862000,2,5,0
863000,1,6,0
864000,7,8,0
865000,4,8,0
866000,3,7,0
867000,1,6,0
868000,3,4,1
869000,1,7,0
870000,3,7,0
871000,5,7,0
872000,4,5,1
873000,3,6,0
874000,1,2,1
875000,1,6,0
